iter	Passed	Remaining
575	20027	14742
576	20060	14706
577	20094	14671
578	20130	14637
579	20164	14601
580	20201	14568
581	20234	14533
582	20273	14501
583	20310	14467
584	20344	14432
585	20378	14396
586	20410	14360
587	20443	14324
588	20477	14289
589	20510	14253
590	20544	14217
591	20578	14182
592	20614	14148
593	20649	14114
594	20683	14078
595	20717	14043
596	20751	14008
597	20785	13972
598	20818	13937
599	20852	13901
600	20895	13872
601	20930	13837
602	20964	13802
603	20998	13767
604	21031	13730
605	21063	13694
606	21096	13659
607	21138	13628
608	21174	13594
609	21207	13558
610	21239	13522
611	21273	13487
612	21307	13451
613	21340	13416
614	21374	13380
615	21408	13345
616	21442	13310
617	21476	13275
618	21511	13240
619	21544	13204
620	21578	13169
621	21612	13134
622	21649	13100
623	21684	13066
624	21717	13030
625	21751	12995
626	21784	12959
627	21818	12924
628	21855	12890
629	21891	12857
630	21925	12821
631	21959	12786
632	21994	12752
633	22028	12717
634	22061	12681
635	22095	12646
636	22128	12610
637	22162	12575
638	22196	12539
639	22229	12503
640	22265	12469
641	22300	12435
642	22334	12400
643	22367	12364
644	22402	12329
645	22435	12294
646	22469	12259
647	22502	12223
648	22536	12188
649	22570	12153
650	22612	12122
651	22648	12088
652	22682	12053
653	22715	12017
654	22749	11982
655	22783	11947
656	22820	11913
657	22857	11880
658	22893	11846
659	22928	11811
660	22962	11776
661	22996	11741
662	23029	11706
663	23062	11670
664	23095	11634
665	23129	11599
666	23164	11564
667	23198	11529
668	23232	11494
669	23266	11459
670	23300	11424
671	23333	11388
672	23367	11353
673	23400	11318
674	23433	11282
675	23467	11247
676	23500	11212
677	23534	11177
678	23567	11141
679	23601	11106
680	23639	11073
681	23674	11038
682	23707	11003
683	23741	10968
684	23775	10933
685	23809	10898
686	23847	10865
687	23883	10831
688	23918	10796
689	23952	10761
690	23985	10725
691	24018	10690
692	24052	10655
693	24085	10619
694	24119	10585
695	24153	10549
696	24187	10514
697	24220	10479
698	24254	10444
699	24289	10409
700	24322	10374
701	24357	10339
702	24393	10305
703	24426	10270
704	24460	10235
705	24492	10199
706	24528	10165
707	24570	10133
708	24606	10099
709	24640	10064
710	24674	10029
711	24707	9993
712	24740	9958
713	24774	9923
714	24806	9887
715	24843	9854
716	24878	9819
717	24913	9784
718	24945	9749
719	24979	9714
720	25012	9679
721	25047	9644
722	25081	9609
723	25115	9574
724	25150	9539
725	25184	9504
726	25218	9469
727	25250	9434
728	25284	9399
729	25320	9364
730	25353	9329
731	25388	9295
732	25420	9259
733	25454	9224
734	25487	9189
735	25522	9154
736	25556	9120
737	25590	9085
738	25627	9050
739	25661	9016
740	25695	8981
741	25729	8946
742	25763	8911
743	25797	8876
744	25836	8843
745	25873	8809
746	25908	8774
747	25941	8739
748	25975	8704
749	26010	8670
750	26044	8635
751	26077	8600
752	26112	8565
753	26146	8530
754	26180	8495
755	26214	8460
756	26248	8426
757	26282	8390
758	26346	8365
759	26380	8330
760	26413	8295
761	26447	8260
762	26481	8225
763	26515	8190
764	26549	8155
765	26590	8123
766	26627	8088
767	26660	8053
768	26694	8018
769	26728	7983
770	26762	7949
771	26796	7914
772	26835	7880
773	26869	7845
774	26902	7810
775	26937	7775
776	26971	7740
777	27004	7705
778	27039	7670
779	27073	7636
780	27107	7601
781	27141	7566
782	27174	7531
783	27208	7496
784	27241	7461
785	27275	7426
786	27308	7391
787	27348	7357
788	27381	7322
789	27414	7287
790	27447	7252
791	27480	7217
792	27513	7181
793	27547	7147
794	27582	7112
795	27616	7077
796	27653	7043
797	27687	7008
798	27722	6973
799	27755	6938
800	27789	6903
801	27832	6871
802	27867	6836
803	27899	6801
804	27953	6771
805	27988	6736
806	28031	6703
807	28065	6669
808	28097	6633
809	28131	6598
810	28164	6563
811	28197	6528
812	28232	6493
813	28267	6459
814	28300	6424
815	28335	6389
816	28370	6354
817	28403	6319
818	28437	6284
819	28472	6249
820	28505	6215
821	28539	6180
822	28573	6145
823	28607	6110
824	28644	6076
825	28678	6041
826	28713	6006
827	28746	5971
828	28781	5936
829	28814	5901
830	28850	5867
831	28885	5832
832	28918	5797
833	28950	5762
834	28983	5727
835	29016	5692
836	29051	5657
837	29084	5622
838	29117	5587
839	29150	5552
840	29184	5517
841	29217	5482
842	29250	5447
843	29283	5412
844	29317	5377
845	29351	5342
846	29385	5308
847	29418	5273
848	29455	5238
849	29489	5204
850	29523	5169
851	29557	5134
852	29593	5099
853	29626	5064
854	29663	5030
855	29696	4995
856	29728	4960
857	29762	4925
858	29794	4890
859	29838	4857
860	29871	4822
861	29906	4787
862	29940	4752
863	29972	4717
864	30005	4682
865	30040	4648
866	30075	4613
867	30109	4578
868	30142	4543
869	30177	4509
870	30211	4474
871	30245	4439
872	30280	4405
873	30314	4370
874	30347	4335
875	30382	4300
876	30416	4265
877	30450	4231
878	30487	4196
879	30521	4162
880	30555	4127
881	30588	4092
882	30621	4057
883	30658	4022
884	30692	3988
885	30726	3953
886	30760	3918
887	30797	3884
888	30835	3850
889	30870	3815
890	30907	3781
891	30941	3746
892	30975	3711
893	31009	3676
894	31044	3642
895	31077	3607
896	31111	3572
897	31145	3537
898	31177	3502
899	31210	3467
900	31244	3433
901	31278	3398
902	31313	3363
903	31346	3328
904	31380	3294
905	31414	3259
906	31448	3224
907	31492	3190
908	31527	3156
909	31561	3121
910	31595	3086
911	31632	3052
912	31666	3017
913	31699	2982
914	31732	2947
915	31765	2913
916	31807	2878
917	31840	2844
918	31874	2809
919	31908	2774
920	31942	2739
921	31975	2705
922	32009	2670
923	32042	2635
924	32076	2600
925	32109	2565
926	32144	2531
927	32177	2496
928	32210	2461
929	32244	2426
930	32280	2392
931	32314	2357
932	32349	2323
933	32383	2288
934	32418	2253
935	32451	2218
936	32486	2184
937	32519	2149
938	32552	2114
939	32587	2080
940	32624	2045
941	32658	2010
942	32690	1975
943	32724	1941
944	32760	1906
945	32801	1872
946	32835	1837
947	32873	1803
948	32907	1768
949	32940	1733
950	32972	1698
951	33005	1664
952	33039	1629
953	33073	1594
954	33107	1560
955	33141	1525
956	33174	1490
957	33208	1455
958	33243	1421
959	33277	1386
960	33312	1351
961	33347	1317
962	33381	1282
963	33415	1247
964	33449	1213
965	33483	1178
966	33519	1143
967	33552	1109
968	33585	1074
969	33623	1039
970	33657	1005
971	33691	970
972	33725	935
973	33763	901
974	33798	866
975	33832	831
976	33869	797
977	33903	762
978	33936	727
979	33970	693
980	34004	658
981	34039	623
982	34072	589
983	34105	554
984	34138	519
985	34172	485
986	34206	450
987	34238	415
988	34272	381
989	34304	346
990	34338	311
991	34371	277
992	34405	242
993	34439	207
994	34478	173
995	34511	138
996	34544	103
997	34577	69
998	34612	34
999	34648	0
